"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age","semester","LCT_Form","LCT_Score","MTELP_Form","MTELP_I","MTELP_II","MTELP_III","MTELP_Conv_Score","Writing_Sample"
"1","aa0",7,0,"Male",1984,"Spanish","Spanish","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes","","","no","","","","no","","641;642;643;644;645","none","none",25,"2010_spring",NA,28,"",20,31,13,80,4.8
"2","aa1",40,0,"Male",1983,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Wrote paragrphs/essays","","","no","","","","no","","462;463;475;476;494;516;523;524;525;527","more than 5 years","none",26,"2009_spring",1,12,"Q",17,17,13,66,3
"3","aa2",21,2,"Male",1967,"Arabic","Arabic","Arabic","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Arabic;Practiced reading aloud;Teacher corrected my mistakes","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation","","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary","415;416;417;418;419;465;466;467;468;469;528;529;530;531;532","less than 1 year","1-2 years",42,"2009_spring",1,15,"Q",9,10,3,38,2.3
"4","aa3",3,1,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2012_summer",1,28,"P",23,23,12,73,3.2
"5","aa5",2,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2010_fall",2,13,"",22,15,8,64,3.1
"6","aa8",1,11,"Female",1976,"Korean","Korean","English","more than 5 years","no","Studied by myself","French","1-2 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation","","","no","","217;230;241;252;261;277;288;299;321","more than 5 years","1-2 years",30,"2007_summer",1,24,"Q",22,20,10,70,4.7
"7","aa9",15,3,"Male",1987,"Korean","Korean;Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes","Chinese","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation","","","no","","96;108;120;144;158;169;180;202;213;227;238;249;260","more than 5 years","none",19,"2006_fall",1,6,"P",13,6,3,38,1
"8","ab2",15,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_spring",1,15,"Q",12,11,4,43,3
"9","ab6",4,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2012_summer",1,22,"P",19,14,8,60,3.3
"10","ab8",24,0,"Male",1985,"Arabic","Arabic;English","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","","","no","","","","no","","657;658;659;660;666;724;725;726;727;728;803;816;842;857;889","1-2 years","1-2 years",25,"2010_summer",2,13,"P",8,13,3,40,2
"11","ac2",0,1,"Female",1981,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","609;610;651;679;680;681","1-2 years","less than 1 year",28,"2009_fall",1,11,"R",1,14,5,36,1.1
"12","ac3",19,0,"Female",1983,"Chinese","Chinese","English","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","217;228;242;253;261","more than 5 years","less than 1 year",24,"2007_summer",1,25,"Q",19,18,9,65,2.8
"13","ac4",0,0,"Female",1969,"Spanish","Spanish","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","619;620;621","1-2 years","3-5 years",40,"2010_spring",NA,24,"",18,25,8,69,4
"14","ac5",11,7,"Male",1986,"Korean","Korean","English","more than 5 years","no","I learned from my friend who is a native speaker;other","","","no","","","","no","","216;227;235;246;260;277;288;295;321;348;349;350;351;352","more than 5 years","less than 1 year",20,"2007_summer",1,16,"Q",21,14,17,70,2.5
"15","ac6",1,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_spring",NA,29,"Q",20,16,8,63,3.3
"16","ac7",20,1,"Male",1975,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes","Cantonese","none","no","I learned from my friend who is a native speaker;I lived in a country where they spoke Cantonese","","","no","","423;430;431;432;434;500;501;502;503;504","more than 5 years","1-2 years",33,"2008_fall",2,19,"P",24,22,7,70,3.8
"17","ad1",5,2,"Female",1988,"Korean","Korean","English","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Wrote paragrphs/essays","Japanese","less than 1 year","yes","Studied vocabulary;Practiced reading aloud","","","no","","46;57;68;79;90;103;115;129;153;175;208","1-2 years","none",18,"2006_summer",1,23,"R",22,30,14,81,2
"18","ad2",3,0,"Male",1985,"Italian","Italian","Spanish","less than 1 year","no","Studied by myself;I learned from my friend who is a native speaker","","","no","","","","no","","378;379;380;381;382","more than 5 years","less than 1 year",23,"2008_summer",2,22,"P",22,25,9,72,3.6
"19","ad3",0,0,"Female",NA,"Portuguese","","","","","","","","","","","","","","","","",NA,"2008_summer",2,12,"P",19,8,4,47,2.1
"20","ad4",9,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2011_fall",1,28,"",24,21,12,72,4.45
"21","ad5",3,1,"Male",1991,"Arabic","Arabic;English","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","743;744;745;746;747;806;807;808;809;810;842;888;889;890;893;894","1-2 years","less than 1 year",19,"2010_fall",2,18,"",21,13,10,63,3.8
"22","ad7",17,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2011_fall",1,22,"",21,29,10,75,3.5
"23","ad8",44,9,"Female",1980,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","332;345;346;364;365;381;382;383;425;426;447;448;449;500;502;503;504;505","more than 5 years","none",27,"2008_spring",1,27,"Q",16,16,3,53,1.6
"24","ad9",8,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2011_fall",1,15,"",14,14,9,56,3
"25","ae2",13,0,"Female",1979,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English","","","no","","","","no","","345;346;353;354;357;391;392","more than 5 years","less than 1 year",29,"2008_spring",1,22,"Q",29,24,14,81,3.6
"26","ae3",49,7,"Female",1978,"Taiwanese","Taiwanese","Taiwanese","more than 5 years","no","I lived in a country where they spoke Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud","","","no","","212;223;234;245;256;274;285;296;318","more than 5 years","less than 1 year",28,"2007_summer",1,13,"Q",15,7,0,38,2.2
"27","ae4",10,2,"Male",1989,"Spanish","Spanish","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","216;227;235;246;260","3-5 years","less than 1 year",18,"2007_summer",1,11,"Q",18,25,8,69,3
"28","ae9",42,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2010_summer",1,29,"R",26,17,12,71,4
"29","af0",46,6,"Male",1978,"Thai","Thai","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","328;329;330;331;332;374;375;422;424;440;441;443;500;501;504","less than 1 year","less than 1 year",29,"2008_spring",1,17,"Q",19,9,7,53,2.3
"30","af1",9,1,"Male",NA,"Korean","","","","","","","","","","","","","","","","",NA,"2008_fall",2,13,"Q",13,24,3,59,2.3
