"","X","answer_id","token","lemma","POS","is_will_construction","is_goingTo_construction"
"1",460,5,"wo"," will"," MD",1,0
"2",559,8,"will"," will"," MD",1,0
"3",607,9,"wo"," will"," MD",1,0
"4",998,18,"will"," will"," MD",1,0
"5",1196,21,"will"," will"," MD",1,0
"6",1223,23,"will"," will"," MD",1,0
"7",1334,23,"will"," will"," MD",1,0
"8",1502,26,"will"," will"," MD",1,0
"9",1704,29,"will"," will"," MD",1,0
"10",1728,29,"will"," will"," MD",1,0
"11",1758,30,"will"," will"," MD",1,0
"12",1836,30,"will"," will"," MD",1,0
"13",2127,34,"will"," will"," MD",1,0
"14",2165,34,"will"," will"," MD",1,0
"15",2291,35,"will"," will"," MD",1,0
"16",2440,35,"will"," will"," MD",1,0
"17",3043,96,"""ll"""," will"," MD",1,0
"18",3743,108,"will"," will"," MD",1,0
"19",3841,110,"""ll"""," will"," MD",1,0
"20",3941,110,"will"," will"," MD",1,0
"21",3978,111,"will"," will"," MD",1,0
"22",4014,112,"will"," will"," MD",1,0
"23",4073,113,"will"," will"," MD",1,0
"24",4299,116,"will"," will"," MD",1,0
"25",4308,116,"will"," will"," MD",1,0
"26",4363,116,"will"," will"," MD",1,0
"27",5081,120,"will"," will"," MD",1,0
"28",5330,121,"will"," will"," MD",1,0
"29",5397,121,"will"," will"," MD",1,0
"30",5624,122,"will"," will"," MD",1,0
"31",6059,125,"will"," will"," MD",1,0
"32",6139,126,"will"," will"," MD",1,0
"33",6771,127,"will"," will"," MD",1,0
"34",7304,129,"going"," go"," VBG",0,1
"35",7666,130,"will"," will"," MD",1,0
"36",8460,138,"will"," will"," MD",1,0
"37",8543,138,"will"," will"," MD",1,0
"38",8660,139,"will"," will"," MD",1,0
"39",8804,141,"going"," go"," VBG",0,1
"40",8869,141,"will"," will"," MD",1,0
"41",9036,142,"will"," will"," MD",1,0
"42",9051,142,"will"," will"," MD",1,0
"43",9815,147,"will"," will"," MD",1,0
"44",9856,147,"will"," will"," MD",1,0
"45",9914,147,"will"," will"," MD",1,0
"46",10146,148,"will"," will"," MD",1,0
"47",10303,148,"will"," will"," MD",1,0
"48",10447,149,"going"," go"," VBG",0,1
"49",10730,149,"will"," will"," MD",1,0
"50",10854,150,"will"," will"," MD",1,0
"51",10902,150,"will"," will"," MD",1,0
"52",11148,151,"will"," will"," MD",1,0
"53",11264,151,"wo"," will"," MD",1,0
"54",11780,153,"will"," will"," MD",1,0
"55",11898,153,"going"," go"," VBG",0,1
"56",11929,153,"will"," will"," MD",1,0
"57",12128,154,"will"," will"," MD",1,0
"58",12297,154,"will"," will"," MD",1,0
"59",12332,154,"will"," will"," MD",1,0
"60",12403,154,"will"," will"," MD",1,0
"61",12451,154,"will"," will"," MD",1,0
"62",12459,154,"will"," will"," MD",1,0
"63",12506,155,"will"," will"," MD",1,0
"64",12513,155,"will"," will"," MD",1,0
"65",12539,155,"will"," will"," MD",1,0
"66",12857,156,"will"," will"," MD",1,0
"67",12866,156,"will"," will"," MD",1,0
"68",13106,157,"will"," will"," MD",1,0
"69",13139,157,"will"," will"," MD",1,0
"70",13210,158,"will"," will"," MD",1,0
"71",13217,158,"will"," will"," MD",1,0
"72",13243,158,"will"," will"," MD",1,0
"73",13475,159,"will"," will"," MD",1,0
"74",13487,159,"will"," will"," MD",1,0
"75",14806,163,"going"," go"," VBG",0,1
"76",14832,163,"will"," will"," MD",1,0
"77",15384,166,"will"," will"," MD",1,0
"78",16796,175,"will"," will"," MD",1,0
"79",16831,176,"will"," will"," MD",1,0
"80",17078,177,"wo"," will"," MD",1,0
"81",17733,183,"will"," will"," MD",1,0
"82",17741,183,"will"," will"," MD",1,0
"83",17873,184,"going"," go"," VBG",0,1
"84",18248,189,"will"," will"," MD",1,0
"85",19982,200,"will"," will"," MD",1,0
"86",20094,200,"will"," will"," MD",1,0
"87",20153,201,"will"," will"," MD",1,0
"88",20176,201,"will"," will"," MD",1,0
"89",20218,201,"will"," will"," MD",1,0
"90",20722,205,"""ll"""," will"," MD",1,0
"91",20968,206,"will"," will"," MD",1,0
"92",21109,206,"will"," will"," MD",1,0
"93",21119,206,"will"," will"," MD",1,0
"94",21126,206,"will"," will"," MD",1,0
"95",21747,210,"will"," will"," MD",1,0
"96",21865,210,"will"," will"," MD",1,0
"97",22184,213,"going"," go"," VBG",0,1
"98",23431,230,"will"," will"," MD",1,0
"99",24732,239,"will"," will"," MD",1,0
"100",24789,239,"will"," will"," MD",1,0
"101",24817,239,"will"," will"," MD",1,0
