"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age"
"1","aa0",7,0,"Male",1984,"Spanish","Spanish","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes","","","no","","","","no","","641;642;643;644;645","none","none",25
"2","aa1",40,0,"Male",1983,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Wrote paragrphs/essays","","","no","","","","no","","462;463;475;476;494;516;523;524;525;527","more than 5 years","none",26
"3","aa2",20,2,"Male",1967,"Arabic","Arabic","Arabic","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Arabic;Practiced reading aloud;Teacher corrected my mistakes","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation","","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary","415;416;417;418;419;465;466;467;468;469;528;529;530;531;532","less than 1 year","1-2 years",42
"4","aa3",3,1,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"5","aa5",2,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"6","aa8",1,11,"Female",1976,"Korean","Korean","English","more than 5 years","no","Studied by myself","French","1-2 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation","","","no","","217;230;241;252;261;277;288;299;321","more than 5 years","1-2 years",30
"7","aa9",4,3,"Male",1987,"Korean","Korean;Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes","Chinese","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation","","","no","","96;108;120;144;158;169;180;202;213;227;238;249;260","more than 5 years","none",19
"8","ab1",1,0,"Male",NA,"Hebrew","","","","","","","","","","","","","","","","",NA
"9","ab2",11,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"10","ab6",4,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"11","ab8",22,0,"Male",1985,"Arabic","Arabic;English","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","","","no","","","","no","","657;658;659;660;666;724;725;726;727;728;803;816;842;857;889","1-2 years","1-2 years",25
"12","ac2",0,1,"Female",1981,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","609;610;651;679;680;681","1-2 years","less than 1 year",28
